device,cpu,mcs,txpower,mean_traffic_load,max_capacity,max_gp_capacity,mean_thr,mean_gput,mean_snr,SNR_normalized,mean_q7,mean_q11,mean_q25,mean_bler,mean_bsr,mean_it,mean_dectime,mean_overflows,mean_underflows,mean_lates,count
I7-5600U @ 2.60GHz,0.1,0,-5,11.5,12.36441646,12.19656422,0.157582916,0.15669149,5.648103448,10.64810345,1,1,1,0.55767,92970.75862,2.742758621,1881.343481,0.275862069,0.155172414,15.51724138,1
I7-5600U @ 2.60GHz,0.1,0,-5,17.25,18.28636109,18.25768486,0.27311004,0.239096653,7.9928,12.9928,1,1,1,0.76579,129399.82,5.495,6210.998379,0.36,0.5,22.52,1
I7-5600U @ 2.60GHz,0.1,0,-5,23,20.70891275,20.69123762,0.171578035,0.162796952,10.13549322,15.13549322,1,1,1,1,98990.25424,3.781186441,4234.872815,0.237288136,0.220338983,13.18644068,1
I7-5600U @ 2.60GHz,0.1,0,-4,2.3,3.312635315,2.6094508,0.175548302,0.174192906,7.118333333,11.11833333,1,1,1,0.59893,99111.27778,3.03962963,1355.070964,0.259259259,0.259259259,14.48148148,1
I7-5600U @ 2.60GHz,0.1,0,-4,5.75,7.039359095,6.234428138,0.319110611,0.286148401,9.342140426,13.34214043,1,1,1,0.72633,126343.9362,4.68106383,4313.134994,0.319148936,0.361702128,20.17021277,1
I7-5600U @ 2.60GHz,0.1,0,-4,11.5,12.36441646,12.19656422,0.175805715,0.174389399,7.137,11.137,1,1,1,0.55303,105493.661,2.895423729,3643.176907,0.254237288,0.220338983,13.37288136,1
I7-5600U @ 2.60GHz,0.1,0,-4,17.25,18.28636109,18.25768486,0.550009451,0.390772137,10.14836364,14.14836364,1,1,1,0.65248,111749.2545,4.514181818,4412.983967,0.309090909,0.309090909,18.09090909,1
I7-5600U @ 2.60GHz,0.1,0,-4,23,20.70891275,20.69123762,5.33E-06,4.57E-06,10.9,14.9,1,1,1,1,0,0.5,20,0.5,1,46.5,1
I7-5600U @ 2.60GHz,0.1,0,-4,28.75,20.70876387,20.69035338,0.310942305,0.311997326,9.50902766,13.50902766,1,1,1,0.73439,131759.4043,4.833617021,4448.263817,0.319148936,0.468085106,19.12765957,1
I7-5600U @ 2.60GHz,0.1,0,-3,2.3,3.312635315,2.6094508,0.45301742,0.445418499,10.35208333,13.35208333,1,1,1,0.707236,122883.3542,4.499166667,2742.574601,0.3125,0.25,22.79166667,1
I7-5600U @ 2.60GHz,0.1,0,-3,5.75,7.039359095,6.234428138,0.614789056,0.557470988,9.685945833,12.68594583,1,1,1,0.722128,106461.8958,4.922083333,15587.87919,0.3125,0.1875,17.97916667,1
